,Title,Published_at,Date,Time,views,Likes,Comment,Month,Youtuber_Name
66,Lists in Python EXPLAINED | Python Lists | Python Tutorial for Beginners #9,2021-03-11T12:00:23Z,3/11/2021,12:00:23Z,1904,54,8,Mar,TechTFQ
67,Exception Handling in Python | TRY EXCEPT in Python | Python Tutorial for Beginners #8,2021-03-04T12:28:53Z,3/4/2021,12:28:53Z,6685,196,11,Mar,TechTFQ
68,Local and Global Scope in Python | Local and Global Variables | Python Tutorial for Beginners #7,2021-03-01T13:00:02Z,3/1/2021,13:00:02Z,3209,106,9,Mar,TechTFQ
69,What is a FUNCTION in Python | Python Functions | Python Tutorial for Beginners #6,2021-02-22T13:00:25Z,2/22/2021,13:00:25Z,2028,65,7,Feb,TechTFQ
70,Import modules in Python | Import module from different directory | Python Tutorial for beginners #5,2021-02-14T13:01:01Z,2/14/2021,13:01:01Z,50070,705,80,Feb,TechTFQ
71,WHILE loop and FOR loop in Python | LOOP statements in Python | Python Tutorial for Beginners #4,2021-02-07T13:25:13Z,2/7/2021,13:25:13Z,2889,91,24,Feb,TechTFQ
72,IF ELSE ELIF statement in Python | IF ELSE Statement in Python | Python Tutorial for Beginners #3,2021-01-31T14:58:15Z,1/31/2021,14:58:15Z,2275,74,11,Jan,TechTFQ
73,What is a VARIABLE in Python | Python Variables | Python Tutorial for Beginners #2,2021-01-25T00:00:05Z,1/25/2021,00:00:05Z,2373,85,16,Jan,TechTFQ
74,"What is DATA TYPE, OPERATORS and EXPRESSION in Python | Python Tutorial for Beginners #1",2021-01-18T00:08:54Z,1/18/2021,00:08:54Z,4131,122,18,Jan,TechTFQ
75,How to Install Python on Mac OS and How to Run Python code,2021-01-11T00:49:40Z,1/11/2021,00:49:40Z,364382,5087,323,Jan,TechTFQ
76,Excel Alternative: How to use SQL to perform EXCEL tasks (SQL for Data Analysis),2021-01-03T13:42:37Z,1/3/2021,13:42:37Z,26495,631,45,Jan,TechTFQ
77,iPhone 12 Pro Unboxing | 5 Reasons to BUY iPhone 12 Pro,2020-12-15T00:15:50Z,12/15/2020,00:15:50Z,1082,37,24,Dec,TechTFQ
78,SQL Basics Tutorial for Beginners (Practice SQL Queries),2020-12-11T02:10:35Z,12/11/2020,02:10:35Z,693335,15285,505,Dec,TechTFQ
79,How to install PostgreSQL on Mac OS | Install and Uninstall PostgreSQL Database,2020-11-16T02:28:09Z,11/16/2020,02:28:09Z,49899,515,89,Nov,TechTFQ
80,Learn What is Database | Types of Database | DBMS,2020-08-30T00:38:24Z,8/30/2020,00:38:24Z,141658,2672,104,Aug,TechTFQ
81,Do you need a Smartwatch,2020-07-12T15:32:36Z,7/12/2020,15:32:36Z,11119,182,46,Jul,TechTFQ
82,MacBook Pro 13 2020  One Week Later Review,2020-06-29T15:03:19Z,6/29/2020,15:03:19Z,1311,70,20,Jun,TechTFQ
83,MacBook Pro 13 2020 Unboxing,2020-06-22T14:49:50Z,6/22/2020,14:49:50Z,2270,86,29,Jun,TechTFQ
